ID Empresa;Empresa;Año;Periodo;Departamento;Municipio;NUECA;Entrega ECA/Recoge rechazoECA;Sitio origen o destino residuo;#sitio origen/destino residuo;Dpto origen residuo;Municipio origen residuos;Tonelada entregadas recogidas;Fecha de cargue
1876;EMPRESA METROPOLITANA DE ASEO DE PASTO S.A.  E.S.P. ;2020;3;NARINO;PASTO;1053052001-ECA EMAS PASTO;Recoge el rechazo de la ECA;Sitio de disposición final;561052001;NARINO;PASTO;0,4;16/04/20
1876;EMPRESA METROPOLITANA DE ASEO DE PASTO S.A.  E.S.P. ;2020;4;NARINO;PASTO;1053052001-ECA EMAS PASTO;Recoge el rechazo de la ECA;Sitio de disposición final;561052001;NARINO;PASTO;0,443;14/05/20
1876;EMPRESA METROPOLITANA DE ASEO DE PASTO S.A.  E.S.P. ;2020;5;NARINO;PASTO;1053052001-ECA EMAS PASTO;Recoge el rechazo de la ECA;Sitio de disposición final;561052001;NARINO;PASTO;0,57;19/06/20
1876;EMPRESA METROPOLITANA DE ASEO DE PASTO S.A.  E.S.P. ;2020;2;NARINO;PASTO;1053052001-ECA EMAS PASTO;Recoge el rechazo de la ECA;Sitio de disposición final;561052001;NARINO;PASTO;0,58;13/03/20
1896;VEOLIA ASEO PALMIRA S.A. E.S.P.;2020;4;VALLE DEL CAUCA;PALMIRA;1208476520-Veolia Aseo Palmira S.A E.S.P;Entrega a la ECA;Área de prestación del servicio;1208576520;VALLE DEL CAUCA;PALMIRA;0,25;22/06/20
1896;VEOLIA ASEO PALMIRA S.A. E.S.P.;2020;5;VALLE DEL CAUCA;PALMIRA;1208476520-Veolia Aseo Palmira S.A E.S.P;Entrega a la ECA;Área de prestación del servicio;1208576520;VALLE DEL CAUCA;PALMIRA;0,5;22/06/20
1896;VEOLIA ASEO PALMIRA S.A. E.S.P.;2020;3;VALLE DEL CAUCA;PALMIRA;1208476520-Veolia Aseo Palmira S.A E.S.P;Entrega a la ECA;Área de prestación del servicio;1208576520;VALLE DEL CAUCA;PALMIRA;0,52;22/06/20
1896;VEOLIA ASEO PALMIRA S.A. E.S.P.;2020;2;VALLE DEL CAUCA;PALMIRA;1208476520-Veolia Aseo Palmira S.A E.S.P;Entrega a la ECA;Área de prestación del servicio;1208576520;VALLE DEL CAUCA;PALMIRA;0,86;22/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;MAGDALENA;SANTA MARTA;998947001-ECA INTERASEO MAGDALENA;Entrega a la ECA;Área de prestación del servicio;1400247053;MAGDALENA;ARACATACA;0,614;01/03/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;124105088;ANTIOQUIA;BELLO;3,126;19/06/20
