ID Empresa;Empresa;Año;Periodo;Fecha certificación del cargue;NUAP;Departamento;Municipio;Tipo de sitio de destino;N del sitio de destino;Toneladas de limpieza urbana;Toneladas barrido y limpieza;Toneladas residuos No Aprov.;Toneladas Rechazo Aprov.;Toneladas de residuos aprov.;Valor de peajes ($);Fecha de actualización
4;AQUAMANA E.S.P.;2018;10;24/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;145,05;821,57;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2018;11;24/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;132,95;752,8;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2018;12;01/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;144,28;818,05;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;1;02/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;138,68;785,62;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;2;02/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;121,44;687,88;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;3;02/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;132,25;749,33;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;4;24/05/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;134,82;763,91;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;5;11/07/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;138,33;784,07;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;6;30/07/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;127,72;723,69;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;7;27/08/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;109,15;618,26;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;8;24/09/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;151,08;1053,93;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;9;24/10/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;149,3;1003,47;0;0;0;24/06/20
4;AQUAMANA E.S.P.;2019;10;23/11/19;899917873;CALDAS;VILLAMARIA;Sitio de Disposición Final;208117001;0;132,95;752,8;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;4;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;3424,7;6624,97;136582,2;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;5;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;5056,87;6549,76;138930,05;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;6;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;4319,88;6377,99;134623,362;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;7;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2414,49;5768,01;134331,952;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;8;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1784,9;5970,001;142450,232;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;9;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1710,89;5862,38;137181,88;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;10;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2521,963;6139,626;138721,5;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;11;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;3524,33;6588,51;145782,18;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2016;12;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;3844,94;6646,04;152296,667;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;1;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2892,75;6026,4;135465,67;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;2;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1805,84;5305,92;128069,26;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;3;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2328,72;7001,25;144336,78;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;4;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;3630,34;6572,89;131292,95;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;5;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;5065,49;6976,38;146047,47;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;6;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;4270,12;6506,41;137919,66;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;7;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2869,37;6045,78;138548,11;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;8;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1912,53;6458,47;140820,93;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;9;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1438,14;6243,27;133068,484;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;10;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;1584,61;7461,43;138049,17;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;11;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2884,09;7922,39;142457,322;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2017;12;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2716,53;7417,56;148110,101;0;0;0;24/06/20
70;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;2018;1;14/08/18;56111001;BOGOTA, D.C.;BOGOTA, D.C.;Sitio de Disposición Final;655611001;2288,33;6463,34;133677,63;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;4;11/07/18;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;333,23;2435,51;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;5;11/07/18;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;261,81;2883,56;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;6;11/07/18;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;173,11;2304,85;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;7;21/06/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;30135;0;200,16;2023,93;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;8;22/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;30135;0;260,68;2532,27;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;9;22/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;30135;0;263,16;3004,23;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;10;22/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;30135;0;308,96;3467,54;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;11;22/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;30135;0;232,3;3167,26;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2016;12;23/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;269,9;3016,07;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2017;1;23/07/19;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;199,43;2672,61;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2017;2;18/03/20;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;362,81;2516,45;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2017;3;18/03/20;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;315,58;3249,05;0;0;0;24/06/20
81;ASEO TECNICO S.A.S. E.S.P.;2017;4;18/03/20;26144430;LA GUAJIRA;MAICAO;Sitio de Disposición Final;22244430;0;185,22;2598,41;0;0;0;24/06/20
